influencer,follower,bill,rbo_weight,a_entry_q,b_entry_q,lag
ABBVIE,BIOGEN,H.R.19,0.227762,4,5,1
ABBVIE,BIOGEN,S.2543,0.227762,3,4,1
ABBVIE,GILEAD SCIENCES,H.R.2740,0.141067,2,3,1
ABBVIE,GILEAD SCIENCES,S.1416,0.141067,2,3,1
ABBVIE,GILEAD SCIENCES,S.1895,0.141067,2,3,1
ABBVIE,CATERPILLAR,H.R.3,0.130768,3,4,1
ABBVIE,CENTENE,H.R.1425,0.125055,6,7,1
ABBVIE,CENTENE,H.R.2740,0.125055,2,3,1
ABBVIE,CENTENE,S.2543,0.125055,3,4,1
ABBVIE,HUMANA,H.R.965,0.08485,1,2,1
ABBVIE,HUMANA,S.3129,0.08485,7,8,1
ABBVIE,AMGEN,H.R.1344,0.068349,1,2,1
ABBVIE,AMGEN,H.R.1503,0.068349,1,2,1
ABBVIE,AMGEN,S.2543,0.068349,3,4,1
ABBVIE,AMGEN,S.474,0.068349,1,2,1
ABBVIE,AMGEN,S.476,0.068349,1,2,1
ABBVIE,AMGEN,S.659,0.068349,1,2,1
ABBVIE,NAVISTAR INTERNATIONAL,S.1895,0.028526,2,3,1
ABBVIE,JOHNSON & JOHNSON,H.R.3,0.026024,3,4,1
ABBVIE,JOHNSON & JOHNSON,S.2543,0.026024,3,4,1
ABBVIE,WALGREENS BOOTS ALLIANCE,H.R.3,0.014093,3,4,1
ABBVIE,ENTERGY,S.1895,0.006489,2,3,1
ABBVIE,GENERAL MOTORS,H.R.3,0.001643,3,4,1
AT&T,VERIZON,H.R.1869,0.23587,2,3,1
AT&T,VERIZON,H.R.4194,0.23587,4,5,1
